N,M,Result,Time
8062,8062,8,4.542000,26999956.627037

8366,8367,8,4.828000,27160640.016570

8660,8660,8,5.212000,27238342.095165

8944,8944,2,4.319000,27542301.458671

9219,9220,8,19.126000,8344329.237687

9486,9487,6,6.518000,24340266.492789

9746,9747,8,6.385000,28162417.384495

10000,10000,2,5.023000,29655584.312164

